# room=$73 mode=$05 lvl=$00 objs=5
tick,bucket,calls,total_cyc,max_cyc,tick_cyc
24,AnimateAndDrawObjectWalking,2,2160,1080,127841
24,GetCollidableTile,2,2160,1080,127841
24,_oam_dma_flush,1,232,232,127841
24,_ags_flush,1,96,96,127841
24,_ags_prearm,1,40,40,127841
24,DriveAudio,1,8,8,127841
24,_tick,1,127841,127841,127841
25,VBlankISR,1,96,96,127841
25,IsrNmi,1,1056,1056,127841
25,UpdateMode,1,264,264,127841
25,TransferCurTileBuf,1,120,120,127841
25,music_tick,1,232,232,127841
25,UpdatePlayer,1,320,320,127841
25,UpdateObject,5,5920,1184,127841
25,CheckMonsterCollisions,2,656,328,127841
25,MoveObject,4,736,184,127841
25,Walker_Move,3,2760,920,127841
25,Walker_CheckTileCollision,3,1272,424,127841
25,UpdateMoblin,2,1040,520,127841
25,UpdateArrowOrBoomerang,2,2000,1000,127841
25,AnimateAndDrawObjectWalking,2,2160,1080,127841
25,GetCollidableTile,2,2160,1080,127841
25,_oam_dma_flush,1,232,232,127841
25,_ags_flush,1,96,96,127841
25,_ags_prearm,1,40,40,127841
25,DriveAudio,1,8,8,127841
25,_tick,1,127841,127841,127841
26,VBlankISR,1,96,96,127841
26,IsrNmi,1,1056,1056,127841
26,UpdateMode,1,264,264,127841
26,TransferCurTileBuf,1,120,120,127841
26,music_tick,1,232,232,127841
26,UpdatePlayer,1,320,320,127841
26,UpdateObject,5,5920,1184,127841
26,CheckMonsterCollisions,2,656,328,127841
26,MoveObject,4,736,184,127841
26,Walker_Move,3,2760,920,127841
26,Walker_CheckTileCollision,3,1272,424,127841
26,UpdateMoblin,2,1040,520,127841
26,UpdateArrowOrBoomerang,2,2000,1000,127841
26,AnimateAndDrawObjectWalking,2,2160,1080,127841
26,GetCollidableTile,2,2160,1080,127841
26,_oam_dma_flush,1,232,232,127841
26,_ags_flush,1,96,96,127841
26,_ags_prearm,1,40,40,127841
26,DriveAudio,1,8,8,127841
26,_tick,1,127841,127841,127841
27,VBlankISR,1,96,96,127841
27,IsrNmi,1,1056,1056,127841
27,UpdateMode,1,264,264,127841
27,TransferCurTileBuf,1,120,120,127841
27,UpdatePlayer,1,320,320,127841
27,UpdateObject,4,4736,1184,127841
27,CheckMonsterCollisions,2,656,328,127841
27,MoveObject,4,736,184,127841
27,Walker_Move,3,2760,920,127841
27,Walker_CheckTileCollision,3,1272,424,127841
27,UpdateMoblin,2,1040,520,127841
27,UpdateArrowOrBoomerang,2,2000,1000,127841
27,AnimateAndDrawObjectWalking,2,2160,1080,127841
27,GetCollidableTile,2,2160,1080,127841
27,_oam_dma_flush,1,232,232,127841
27,_ags_prearm,1,40,40,127841
27,DriveAudio,1,8,8,127841
27,_tick,1,127841,127841,127841
28,VBlankISR,1,96,96,127841
28,IsrNmi,1,1056,1056,127841
28,UpdateMode,1,264,264,127841
28,TransferCurTileBuf,1,120,120,127841
28,music_tick,1,232,232,127841
28,UpdatePlayer,1,320,320,127841
28,UpdateObject,4,4736,1184,127841
28,CheckMonsterCollisions,2,656,328,127841
28,MoveObject,3,552,184,127841
28,Walker_Move,2,1840,920,127841
28,Walker_CheckTileCollision,2,848,424,127841
28,UpdateMoblin,1,520,520,127841
28,UpdateArrowOrBoomerang,2,2000,1000,127841
28,AnimateAndDrawObjectWalking,2,2160,1080,127841
28,TryNextDir,1,48,48,127841
28,GetCollidableTile,3,3240,1080,127841
28,_oam_dma_flush,1,232,232,127841
28,_ags_flush,1,96,96,127841
28,_ags_prearm,1,40,40,127841
28,DriveAudio,1,8,8,127841
28,_tick,1,127841,127841,127841
29,VBlankISR,1,96,96,127841
29,IsrNmi,1,1056,1056,127841
29,UpdateMode,1,264,264,127841
29,TransferCurTileBuf,1,120,120,127841
29,music_tick,1,232,232,127841
29,UpdateObject,2,2368,1184,127841
29,CheckMonsterCollisions,2,656,328,127841
29,MoveObject,2,368,184,127841
29,Walker_Move,2,1840,920,127841
29,Walker_CheckTileCollision,2,848,424,127841
29,UpdateMoblin,2,1040,520,127841
29,AnimateAndDrawObjectWalking,2,2160,1080,127841
29,TryNextDir,2,96,48,127841
29,GetCollidableTile,3,3240,1080,127841
29,_oam_dma_flush,1,232,232,127841
29,_ags_flush,1,96,96,127841
29,_ags_prearm,1,40,40,127841
29,DriveAudio,1,8,8,127841
29,_tick,1,127841,127841,127841
30,VBlankISR,2,192,96,255682
30,IsrNmi,2,2112,1056,255682
30,UpdateMode,1,264,264,255682
30,TransferCurTileBuf,1,120,120,255682
30,music_tick,2,464,232,255682
30,UpdatePlayer,2,640,320,255682
30,UpdateObject,10,11840,1184,255682
30,CheckMonsterCollisions,6,1968,328,255682
30,MoveObject,10,1840,184,255682
30,Walker_Move,8,7360,920,255682
30,Walker_CheckTileCollision,8,3392,424,255682
30,UpdateMoblin,6,3120,520,255682
30,UpdateArrowOrBoomerang,4,4000,1000,255682
30,AnimateAndDrawObjectWalking,6,6480,1080,255682
30,GetCollidableTile,8,8640,1080,255682
30,_oam_dma_flush,2,464,232,255682
30,_ags_flush,2,192,96,255682
30,_ags_prearm,2,80,40,255682
30,DriveAudio,1,8,8,255682
30,_tick,2,255682,255682,255682
31,VBlankISR,1,96,96,127841
31,UpdateMode,1,264,264,127841
31,TransferCurTileBuf,1,120,120,127841
31,music_tick,1,232,232,127841
31,UpdatePlayer,1,320,320,127841
31,UpdateObject,6,7104,1184,127841
31,CheckMonsterCollisions,3,984,328,127841
31,MoveObject,5,920,184,127841
31,Walker_Move,4,3680,920,127841
31,Walker_CheckTileCollision,4,1696,424,127841
31,UpdateMoblin,3,1560,520,127841
31,UpdateArrowOrBoomerang,2,2000,1000,127841
31,AnimateAndDrawObjectWalking,3,3240,1080,127841
31,GetCollidableTile,4,4320,1080,127841
31,_oam_dma_flush,1,232,232,127841
31,_ags_flush,1,96,96,127841
31,DriveAudio,1,8,8,127841
31,_tick,1,127841,127841,127841
32,IsrNmi,1,1056,1056,127841
32,UpdateMode,1,264,264,127841
32,TransferCurTileBuf,1,120,120,127841
32,UpdatePlayer,1,320,320,127841
32,UpdateObject,6,7104,1184,127841
32,CheckMonsterCollisions,3,984,328,127841
32,MoveObject,6,1104,184,127841
32,Walker_Move,4,3680,920,127841
32,Walker_CheckTileCollision,4,1696,424,127841
32,UpdateMoblin,3,1560,520,127841
