# label=gen system=GEN start=850 end=3000
# frame,gameMode,phase,subphase,curVScroll,curHScroll,ppuCtrl,switchReq,vsram0,ppuScrlX,ppuScrlY,demoLineTextIndex,demoNTWraps,lineCounter,lineAttrIndex,lineDstLo,lineDstHi,attrDstLo,attrDstHi,phase0Cycle,phase0Timer,transferBufSel,demoBusy,vsAddrHi58,vsAddrLoE2,sprite0Act,vsram40,hintQCount,hintQ0Ctr,hintQ0Vsram,hintPendSplit,introScrollMode,stagedMode,stagedHintCtr,stagedBase,stagedEvent,activeHintCtr,stagedSegment,activeSegment,activeBase,activeEvent,enterStep,updateCount,handoffMark,substage,nmiProbe,ppuCtrlGate
948,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,4D,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,6A,B0
949,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,4C,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,6B,B0
950,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,4B,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,6C,B0
951,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,4A,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,6D,B0
952,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,49,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,6E,B0
953,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,48,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,6F,B0
954,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,47,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,70,B0
955,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,46,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,71,B0
956,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,45,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,72,B0
957,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,44,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,73,B0
958,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,43,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,74,B0
959,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,42,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,75,B0
960,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,41,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,76,B0
961,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,40,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,77,B0
962,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,3F,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,78,B0
963,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,3E,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,79,B0
964,00,00,01,00,01,B0,00,0008,00,00,00,00,00,00,00,00,00,00,0D,3D,00,01,00,00,00,0000,00,00,0000,00,00,00,00,0008,0008,00,00,00,0008,0008,00,00,00,00,7A,B0
