frame,gameMode,phase,subphase,curVScroll,demoLineTextIndex,demoNTWraps,lineCounter,lineAttrIndex,lineDst,attrDst,switchReq,subphase2Hits,lineRecordHit,demoLineSelected,planeLineDst,attrRecordHit,attrLineDst,lineAdvanced,attrAdvanced,ntWrapped
1025,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1026,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1027,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1028,00,00,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1029,00,01,00,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1030,00,01,00,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1031,00,01,01,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1032,00,01,02,00,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1033,00,01,00,10,00,00,00,00,0000,0000,01,0,0,FF,FFFF,0,FFFF,0,0,1
1034,00,01,00,10,00,00,00,00,0000,0000,01,0,0,FF,FFFF,0,FFFF,0,0,0
1035,00,01,00,10,00,00,00,00,0000,0000,01,0,0,FF,FFFF,0,FFFF,0,0,0
1036,00,01,00,10,00,00,00,00,0000,0000,01,0,0,FF,FFFF,0,FFFF,0,0,0
1037,00,01,00,10,00,00,00,00,0000,0000,01,0,0,FF,FFFF,0,FFFF,0,0,0
1038,00,01,00,10,00,00,00,00,0000,0000,01,0,0,FF,FFFF,0,FFFF,0,0,0
1039,00,01,00,10,00,00,00,00,0000,0000,01,0,0,FF,FFFF,0,FFFF,0,0,0
1040,00,01,00,11,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,1
1041,00,01,00,11,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1042,00,01,00,12,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1043,00,01,00,12,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1044,00,01,00,13,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1045,00,01,00,13,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1046,00,01,00,14,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1047,00,01,00,14,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1048,00,01,00,15,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1049,00,01,00,15,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1050,00,01,00,16,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1051,00,01,00,16,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1052,00,01,00,17,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1053,00,01,00,17,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1054,00,01,00,18,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1055,00,01,00,18,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1056,00,01,00,19,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1057,00,01,00,19,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1058,00,01,00,1A,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1059,00,01,00,1A,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1060,00,01,00,1B,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1061,00,01,00,1B,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1062,00,01,00,1C,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1063,00,01,00,1C,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
1064,00,01,00,1D,00,00,00,00,0000,0000,00,0,0,FF,FFFF,0,FFFF,0,0,0
